,Majority protein IDs,Gene_name_canonical,cluster_annotation,Graph-based_localization_annotation,consensus_graph_annnotation
171,P08237;A0A024R0Y5;A0A0S2Z4A1;A0A0S2Z4I1;Q96I60;F8VZI0;B4E162;Q7KYX9,PFKM,cytosol,cytosol,cytosol
172,B3KY11;A8KA56;A0A024R0Z3;Q9BUQ8,DDX23,nucleus,nucleus,nucleus
173,F8VQW0;F8VX73;F8VPI1;F8W201;F8W086;F8VR05;B7Z984;F8VQQ5;F8VSI7;F8VVJ4;B7Z5Y9;B3KWE3;A0A024R0Z5;P55061;F8W1G3,TMBIM6,ER,ER,ER
174,Q2PEG1;Q2PEG0;Q2PEF9;A0A024R100;E9PRC5;Q2PEG2;Q7Z412;A0A0S2Z5M7,PEX26,peroxisome,peroxisome,peroxisome
175,A0A024R101;Q86XZ4,SPATS2,nucleolus,nucleolus,nucleolus
176,A0A024R102;Q96GM5;A0A024R137;A8K9I5;F8VRQ4,SMARCD1,nucleus,nucleus,nucleus
177,A0A024R104;Q12860,CNTN1,plasma_membrane,plasma_membrane,plasma_membrane
178,A0A024R106;F8VXY6;Q8TBF4;Q05DR1;G3V1V1,ZCRB1,nucleus,stress_granule,stress_granule
179,A0A024R118;Q9H8H3;B4DDW1;H0YI09;F8VQX6,TMT1A,ER,ER,ER
180,A0A024R120;Q12800;F8VX55;F8VWL0,TFCP2,ER,ER,ER
181,A0A024R125;P54619;F8VYY9;H0YIC9,PRKAG1,cytosol,cytosol,cytosol
182,A0A024R128;Q9BSB4;F8VQD9;F8VVA0,ATG101,cytosol,cytosol,cytosol
183,Q9H0H5;A0A2X0U4T9;A0A024R136;B2RE34,RACGAP1,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
184,A0A7P0Z415;B2R717;A0A024R141;O60911;A0A7P0T8X8;A0A7P0T983,CTSV,lysosome,lysosome,lysosome
185,A0A024R150;Q92828;A8K9S3,CORO2A,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
186,A0A024R151;Q8WWI5,SLC44A1,plasma_membrane,plasma_membrane,plasma_membrane
187,A0A024R152;A0A024R167;C9JVY5,PALM2AKAP2,plasma_membrane,plasma_membrane,plasma_membrane
188,P50151;A0A024R156;D3DQV2,GNG10,unclassified,plasma_membrane,plasma_membrane
189,A0A024R158;O95347;B7ZLZ7;A8K984;Q05BV1;Q2KQ72,SMC2,unclassified,unclassified,unclassified
190,A0A024R161,DNAJC25-GNG10,plasma_membrane,plasma_membrane,plasma_membrane
191,O95758;A0A024R163,PTBP3,stress_granule,nucleus,nucleus
192,A0A024R165;Q14142;A0A024R143,TRIM14,early_endosome,early_endosome,early_endosome
193,A0A024R169;Q9NXF1;B4DQR0,TEX10,nucleus,nucleus,nucleus
194,A0A024R178;P10398;Q96II5;A0A0S2Z3F2;B4DV85,ARAF,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
195,A0A024R179;Q09161,NCBP1,nucleus,nucleus,nucleus
196,A0A024R183;Q00536;A0A140VK97;A0A087WZU2;Q9BRL4;Q59FJ5;Q96GA5;E5RGN0;Q6ZMU4;B7Z461,CDK16,recycling_endosome,unclassified,recycling_endosome
197,Q9H553;A0A024R184,ALG2,ER,ER,ER
198,A0A024R1A2;Q92613,JADE3,nucleus,nucleus,nucleus
199,A0A024R1A3;P22314,UBA1,cytosol,cytosol,cytosol
200,P68036;A0A024R1A4;A0A1B0GUS4,UBE2L3,cytosol,cytosol,cytosol
201,Q6FG56;A0A024R1A7;Q86SR6;Q59GR2;P19419,ELK1,nucleus,nucleus,nucleus
202,A0A7P0Z4K4;A0A024R1C1;Q13356;A0A7P0TA15;A0A7P0TB19;A8K0I0;A0A7P0T843;A0A7P0TBL3,PPIL2,unclassified,unclassified,unclassified
203,A0A024R1C2;O95985;A8K4N2,TOP3B,stress_granule,stress_granule,stress_granule
204,A0A024R1C5;Q8IWD4;B7Z820,CCDC117,cytosol,cytosol,cytosol
205,A0A024R1D6;Q13769;F8WCP5,THOC5,nucleus,nucleus,nucleus
206,A0A024R1E4;Q9UDX5;B5MC22;L0R6K6,MTFP1,nucleus,nucleus,nucleus
207,A0A087WWW8;A0A024R1E5;Q9Y6J0,CABIN1,nucleus,nucleus,nucleus
208,A0A024R1F8;A0A024R1M5;Q9HBE1;Q59HH1;Q9HD72,PATZ1,nucleolus,nucleolus,nucleolus
209,A0A024R1F9;Q9H1I8;A0A024R1E1;B1AH59,ASCC2,translation,translation,translation
210,A0A024R1H0;Q8IWF2,FOXRED2,ER,ER,ER
211,A0A024R1H6;P53671;B5BU33;B2RAW9;A0A024R1M2;B4DR56;B4DES9;B4DYR0,LIMK2,unclassified,unclassified,unclassified
212,A0A024R1I1;Q9UDW3,ZMAT5,unclassified,unclassified,unclassified
213,A0A024R1I3;Q96GD0,PDXP,cytosol,cytosol,cytosol
214,B2RAW8;A0A024R1I5;O76054;B3KRD8;B7Z3Z8,SEC14L2,cytosol,cytosol,cytosol
215,Q8N523;A0A024R1I7;Q9UBB9;B4DPE5,TFIP11,unclassified,nucleus,nucleus
216,A0A024R1J3;Q00587,CDC42EP1,plasma_membrane,plasma_membrane,plasma_membrane
217,Q53HE0;B3KM22;A0A024R1J5;Q9NRD5;F6V107,PICK1,unclassified,cytosol,cytosol
218,A0A024R1J8;P35240;A0A024R1J9;A0A024R1F6;B7Z4B6;A0A024R1I0;A0A024R1D9;A0A5K1VW66,NF2,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
219,A0A024R1K0;Q9NRA8;B1AKL4,EIF4ENIF1,p-body,p-body,p-body
220,A0A024R1K7;Q04917;Q9H4N8,YWHAH,unclassified,unclassified,unclassified
221,A0A024R1K8;Q15459,SF3A1,nucleus,nucleus,nucleus
222,A0A024R1L3;Q9H0J7;B0QY95;Q9NQG6,RP5-1104E15.5,mitochondrion,mitochondrion,mitochondrion
223,A0A024R1L9;Q9Y3M2;B0QY54;A0A087WUW0,CBY1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
224,V9GYY5;A0A024R1M6;Q9UGY1;B4DGP7,NOL12,nucleolus,nucleolus,nucleolus
225,A0A024R1M8;Q9BQE5;E9PM95,APOL2,ER,ER,ER
226,A0A024R1N1;P35579;Q86XU5,MYH9,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
227,A0A024R1N4;P12956;B2RDN9;B1AHC9;B4DE32;B4E356,XRCC6,unclassified,nucleus,nucleus
228,A0A024R1P3;Q9Y535;E7ERZ2;Q6ZPA8;F8WDV1,POLR3H,cytosol,cytosol,cytosol
229,A0A024R1P5;Q15040;H0YGT9;Q6IB81;B0QY57;B0QY56,JOSD1,unclassified,plasma_membrane,plasma_membrane
230,A0A024R1Q0;Q12772;B4DSU0,SREBF2,ERGIC,ERGIC,ERGIC
231,A0A024R1Q3;Q9NSP4;B1AHQ6,CENPM,unclassified,unclassified,unclassified
232,P17050;A0A024R1Q5,NAGA,ER,ER,ER
233,Q9BTQ7;A0A024R1Q8;P62829;J3KT29;C9JD32;J3KTJ3;B9ZVP7,RPL23,unclassified,unclassified,unclassified
234,B2R935;A0A024R1S2;Q99741,CDC6,nucleus,nucleus,nucleus
235,Q969G3;A0A024R1S7;B4DGM3;A0A2R8Y855;A0A2R8YES3;A0A2R8Y4T4;A0A2R8Y7U4;A0A2R8Y7I9;A0A2U3TZQ7;A0A2R8Y765;J3QR61,SMARCE1,nucleus,nucleus,nucleus
236,A0A024R1S8;Q14847;A8K1D2;C9J9W2,LASP1,cytosol,cytosol,cytosol
237,Q86WX3;A0A024R1T1,RPS19BP1,nucleolus,nucleolus,nucleolus
238,Q9NVR0;A0A024R1T8;B4DXF5,KLHL11,cytosol,cytosol,cytosol
239,A0A024R1T9;Q4LE36;P53396;A0A024R1Y2;Q8N9C4,ACLY,cytosol,cytosol,cytosol
