,Majority protein IDs,Gene_name_canonical,cluster_annotation,Graph-based_localization_annotation,consensus_graph_annnotation
3595,H9ZYJ2;P10599,TXN,cytosol,cytosol,cytosol
3596,I1SRC5;L7RSL8;P01116,KRAS,plasma_membrane,plasma_membrane,plasma_membrane
3597,I1VE18,SEC22B,ERGIC,ERGIC,ERGIC
3598,I3L0A0;G3V2F7,UBE2V1,cytosol,cytosol,cytosol
3599,I3L0E3;Q8IY71;Q9Y2R5;E9PE17,MRPS17,mitochondrion,mitochondrion,mitochondrion
3600,I3L0L6;Q9H6Y7;Q9Y4L6,RNF167,lysosome,lysosome,lysosome
3601,I3L2J0;A0A0A0MQR4,CIC,nucleus,nucleus,nucleus
3602,I3L2W2;Q96JN8;I3L100;D3DTP5;I3L2Z9,NEURL4,trans-Golgi,ER,ER
3603,I3L3H6,CDC27,unclassified,nucleus,nucleus
3604,I3L3R1;Q8N8T3;P17481;I3L383,HOXB8,unclassified,nucleus,nucleus
3605,J3KQU4;I3L4I4;O75674;B4E1N0;B4E1M9;I3NI44;B4DUW5;I3L1G1;I3L4G0;I3L367,TOM1L1,unclassified,cytosol,cytosol
3606,I3VM54;I3VM53;Q9Y2K7,KDM2A,nucleus,nucleus,nucleus
3607,I4AY87;P14174,MIF,cytosol,cytosol,cytosol
3608,I6L976;Q5VUM1,SDHAF4,mitochondrion,mitochondrion,mitochondrion
3609,I6L9C2;B4E1R0,YY1AP1,translation,translation,translation
3610,I6L9E8;Q8NCA5;E9PH82;B4DY25;B3KTW4,FAM98A,stress_granule,stress_granule,stress_granule
3611,I6L9H2,DNMT1,nucleus,nucleus,nucleus
3612,I6NLS4;G5E9C5;O76074,PDE5A,cytosol,cytosol,cytosol
3613,Q53H15;I6QTG3;P51654;Q8IYG2,GPC3,plasma_membrane,plasma_membrane,plasma_membrane
3614,I7F472;I7FV88;I7FC27;I7G276;I7G277;I7F467;I7FV85;I7FC33;I7FC29;A0A087WU74;A0A087WYW1;A0A087WYU3;I7G0Z8;A0A087X1J5;H7BY14;A0A087X223;Q96NU1;A0A087WXB3;A0A087WX24;I7F465;H7C3J6,SAMD11,unclassified,unclassified,unclassified
3615,Q92541;I7GPQ7,RTF1,cytosol,unclassified,cytosol
3616,J3KN01,AFDN,plasma_membrane,plasma_membrane,plasma_membrane
3617,J3KN59;Q12982,BNIP2,cytosol,cytosol,cytosol
3618,J3KN66,TOR1AIP1,ER,ER,ER
3619,J3KN67,TPM3,cytosol,actin_cytoskeleton,actin_cytoskeleton
3620,J3KNN3;P15735;H3BP07;H3BTW6;A0A024QZE8;Q59GQ4,PHKG2,cytosol,cytosol,cytosol
3621,J3KNQ1;Q29RW8;Q6P2D0,ZFP1,unclassified,nucleus,nucleus
3622,J3KNS1;Q9UPW5;A0A024R288;B4DHX2,AGTPBP1,unclassified,unclassified,unclassified
3623,J3KNV1;O60281,ZNF292,nucleus,nucleus,nucleus
3624,J3KNW5;I3L3S9;Q96AJ1;I3L121;B4DFY1,CLUAP1,unclassified,unclassified,unclassified
3625,J3KNZ9;Q9HAH7,FBRS,unclassified,unclassified,unclassified
3626,J3KP75,PHACTR2,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3627,J3KPD3;Q9Y580;Q6IRX3;F5GXV8;I3L521;Q59EQ8;F5GY08,RBM7,nucleus,nucleus,nucleus
3628,J3KPF0;F8VWT9;Q9Y4D8,HECTD4,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
3629,J3KPH8;Q8WUI4,HDAC7,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
3630,J3KPL8;O00213;A0A075B7G8;Q8TEY4;B7Z1H5;B7Z9K0;A0A087X0V7;A0A087WYH9;B7Z4M6,APBB1,early_endosome,cytosol,cytosol
3631,J3KPT4;Q9H4I3;Q6XYC5;A0A024R500,TRABD,mitochondrion,mitochondrion,mitochondrion
3632,J3KQ32;Q9NTK5;B4DK14;Q53SQ6,OLA1,cytosol,cytosol,cytosol
3633,Q9Y3E5;J3KQ48;Q96ME4,PTRH2,ER,ER,ER
3634,J3KQN4;H0Y5B4;H7BZ11;P83881,RPL36A,translation,translation,translation
3635,J3KQR7;Q9Y4F5,CEP170B,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
3636,J3KR35;Q8WUD4;C9JUN5;B4DZZ9;S4R331,CCDC12,nucleus,nucleus,nucleus
3637,J3KR44;Q96FW1;F5H6Q1;F5GYN4;Q659F9;F5GYJ8;F5H3F0,OTUB1,cytosol,cytosol,cytosol
3638,J3KR72;P49848;A4D299;B3KUR4;C9JTY6,TAF6,nucleolus,nucleus,nucleus
3639,J3KR97;Q9BTW9;I6L959,TBCD,cytosol,cytosol,cytosol
3640,J3KRC8;Q96N06,SPATA33,unclassified,cytosol,cytosol
3641,Q14197;J3KS15,MRPL58,mitochondrion,mitochondrion,mitochondrion
3642,J3KS54,FLII,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3643,J3KSH8,JPT1,cytosol,cytosol,cytosol
3644,J3KSZ8;Q68DK7;J3QQY0;A0A024R1R9,MSL1,nucleus,nucleus,nucleus
3645,J3KTA1,FBXL20,early_endosome,ER,ER
3646,J3KTC1,MSI2,unclassified,unclassified,unclassified
3647,J3KTL2;Q07955;Q59FA2;A8K1L8;B7Z570,SRSF1,nucleus,nucleus,nucleus
3648,J3QLB2;Q8N1S5;J3KRX2;J3QS49,SLC39A11,ERGIC,ERGIC,ERGIC
3649,J3QLF4;J3QRL7;J3KSE9;J3QSG9;J3QRC3;J3QQP3;J3KT72;Q9BTE0,NAT9,cytosol,cytosol,cytosol
3650,J3QLM1,STARD3,lysosome,lysosome,lysosome
3651,J3QQJ0,SAP30BP,unclassified,unclassified,unclassified
3652,J3QR07;Q96MU7,YTHDC1,nucleus,nucleus,nucleus
3653,J3QRS9;Q59G94;O43670;X6R4W8,ZNF207,unclassified,nucleus,nucleus
3654,J3QRU1;P07947,YES1,plasma_membrane,plasma_membrane,plasma_membrane
3655,J3QS41,HELZ,p-body,stress_granule,stress_granule
3656,Q14119;J3QSH4;J9JIC7,VEZF1,nucleus,nucleus,nucleus
3657,J3QT39;Q49A88;A0A0A0MR27,CCDC14,centrosome,centrosome,centrosome
3658,J3QT56,HYPK,unclassified,unclassified,unclassified
3659,J3QTA6;Q9BRQ6;J3QTB2,CHCHD6,mitochondrion,mitochondrion,mitochondrion
3660,J3QW43;O75352;J3QRD5;Q1HDL3;B4DLH7;A0A0S2Z4W8;A0A291FGC8;A0A291FGE0;J3QS48;I3L295;B2RB74;Q96N63;Q96K24;Q9H3L2;J3KT75;B4DMY7;J3KSI4;I3L4E0;A0A0S2Z4T4;I3L1D2,MPDU1,ER,ER,ER
3661,J9JIC5;Q9HAS0;J3KRR1,C17orf75,trans-Golgi,trans-Golgi,trans-Golgi
3662,Q24JU4;J9R021;Q14152;Q7Z5T5,EIF3A,stress_granule,stress_granule,stress_granule
3663,K4DI92;Q6NW29,RWDD4,unclassified,unclassified,unclassified
3664,K4DI93,CUL4B,unclassified,cytosol,cytosol
3665,Q96ND0;K7EK00,FAM210A,mitochondrion,mitochondrion,mitochondrion
3666,K7EKB6,THOP1,cytosol,cytosol,cytosol
3667,K7EKN5,PALM3,plasma_membrane,plasma_membrane,plasma_membrane
3668,K7ELH8;Q6ZPD9,DPY19L3,ER,ER,ER
3669,Q6IAV3;K7EM18;P41567,EIF1,translation,translation,translation
3670,K7ENF0,NARS1,cytosol,cytosol,cytosol
3671,K7ENI6;K7ERE1;Q8N2U0,TMEM256,nucleus,nucleus,nucleus
3672,K7EP90;Q9BTD8;K7EQ03;K7ER08,RBM42,nucleus,nucleus,nucleus
3673,K7EQ44;K7EN05;K7EPC8;A0A024R7E8;K7EMV4;P60002,ELOF1,nucleus,unclassified,nucleus
3674,K7ERD8;M0QX52,MAPRE2,unclassified,unclassified,unclassified
3675,K7ES63,TUBB6,cytosol,cytosol,cytosol
3676,K7ESE6;Q9BUM1,G6PC3,ER,ER,ER
3677,K7PML8;P42771;J3QRG6;D1LYX3;K7ES20;K7ENC6,CDKN2A,cytosol,cytosol,cytosol
3678,K9JA46;P07900;Q2VPJ6;Q8TBA7;O75322;Q86U12;Q96HX7,HSP90AA1,cytosol,cytosol,cytosol
3679,L0R4W3;P0CG12,DERPC,nucleus,nucleus,nucleus
3680,L0R512,NCAM2,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3681,Q96EX1;L0R6D7;E5RH51,SMIM12,mitochondrion,mitochondrion,mitochondrion
3682,L0R6F6;Q6UWS5,PET117,mitochondrion,mitochondrion,mitochondrion
3683,L0R6H6;Q6EEV4,POLR2M,cytosol,cytosol,cytosol
3684,P86397;L0R6P0;A0A087WTC8,HTD2,mitochondrion,mitochondrion,mitochondrion
3685,L0R6Q1,SLC35A4,mitochondrion,mitochondrion,mitochondrion
3686,L0R819,ASDURF,unclassified,unclassified,unclassified
3687,L0R8F8,MIEF1,mitochondrion,mitochondrion,mitochondrion
3688,L7RRS0;O00443;B4DG55,PIK3C2A,early_endosome,actin_cytoskeleton,actin_cytoskeleton
3689,L7RRS6;P04049;A0A0S2Z4L5;A0A0S2Z559;H7C155;B4E0X2,RAF1,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
3690,L7RSM2,MAPK14,cytosol,cytosol,cytosol
3691,L7RSM7;P17252;Q2TSD3;A0A169TED2;Q59FI5;J3KRN5;Q7Z727,PRKCA,cytosol,cytosol,cytosol
3692,L7RT22;P18084,ITGB5,recycling_endosome,plasma_membrane,plasma_membrane
3693,L7RXH5;P27361;Q8NHX0;Q7Z3H5;E9PBK7;B3KR49,MAPK3,cytosol,cytosol,cytosol
3694,M0QWZ7;Q9NP81;M0R259;A0A024R0H0,SARS2,mitochondrion,mitochondrion,mitochondrion
3695,M0QXQ4,NUMBL,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3696,M0QXZ5;I6L9C8;Q96B54,ZNF428,cytosol,cytosol,cytosol
3697,M0QY01,EPS15L1,cytosol,actin_cytoskeleton,actin_cytoskeleton
3698,M0QY43;B3KWH4,MYH14,unclassified,cytosol,cytosol
3699,M0R0N4;M0QYZ2;P53680;X6R390,AP2S1,plasma_membrane,plasma_membrane,plasma_membrane
3700,M0QZM1,HNRNPM,nucleus,nucleus,nucleus
3701,M0QZR4;A0A024R0R1;Q92888;A0A2X0SFA4,ARHGEF1,unclassified,unclassified,unclassified
3702,M0R0T3;Q96EN9,REX1BD,cytosol,cytosol,cytosol
3703,M0R2A0;Q5UCC4,EMC10,ER,ER,ER
3704,M0R2B3;Q9H6X5;M0QZ23,C19orf44,unclassified,unclassified,unclassified
3705,M0R2C6;B4DXB9,M0R2C6[p];B4DXB9[p],plasma_membrane,plasma_membrane,plasma_membrane
3706,Q8TBC3;M0R2P6;B2R6W9;B4DLI0;M0R0S1;B3KVX8;B4DUV2;B4DUW2,SHKBP1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3707,M0R2S1;M0R1M6,UBA52,nucleus,nucleus,nucleus
3708,M0R3D4;Q9UI14,RABAC1,Golgi,Golgi,Golgi
3709,M1VE83;M1VKI3,SDC4-ROS1_S4,plasma_membrane,plasma_membrane,plasma_membrane
3710,M4QHP2;Q92508,PIEZO1,plasma_membrane,plasma_membrane,plasma_membrane
3711,N0DVX5;N0DVB2;Q9HCK1;A0A3B3ITZ5,ZDBF2,nucleus,nucleus,nucleus
3712,N0E4C7;P67870;A0A1U9X7J2;Q5SRQ3;N0E466;N0E472;A0A0G2JM12,CSNK2B,cytosol,cytosol,cytosol
3713,O00116;B7Z3Q4;A0A7P0T984;A0A1B0GWA2;A0A7P0TAL3;A0A2R8YEL0;A0A7P0TAU9;Q53SG6;A0A7P0T9C9,AGPS,peroxisome,peroxisome,peroxisome
3714,O00139;A0A6Q8PGH7;A0A6Q8PG37;B4DM85;D6R9M0;A0A6Q8PGG1,KIF2A,unclassified,nucleus,nucleus
3715,O00148;B4DX78,DDX39A,nucleus,nucleus,nucleus
3716,V9HW92;O00151,PDLIM1,actin_cytoskeleton,plasma_membrane,plasma_membrane
3717,O00154;B4DUX0;K7EKP8,ACOT7,cytosol,cytosol,cytosol
3718,O00159;F5H6E2;B7Z3E5,MYO1C,plasma_membrane,plasma_membrane,plasma_membrane
3719,O00178;A0A024R1S5;B2RDW9,GTPBP1,unclassified,unclassified,unclassified
3720,O00186,STXBP3,plasma_membrane,plasma_membrane,plasma_membrane
3721,O00193;E9PM92;E9PQA1,SMAP,cytosol,cytosol,cytosol
3722,O00217;A0A024R5K3;E9PPW7;Q53G17;E9PKH6;E9PN51;F8W9K7;B4DYI3,NDUFS8,mitochondrion,mitochondrion,mitochondrion
3723,O00231;B4DTS5,PSMD11,proteasome,proteasome,proteasome
3724,O00233;J3KN29;F5H5V4;F5GX23;F5H7X1,PSMD9,cytosol,cytosol,cytosol
3725,Q0VGA7;O00258;H7BYE5;H7C384;B7Z1T1;A0A3B3ISE9;A0A3B3ISE5,GET1,ER,ER,ER
3726,Q6IB11;O00264,PGRMC1,ER,ER,ER
3727,O00267;B4DZJ7;B4E0Q4;B4DJK4,SUPT5H,nucleus,nucleus,nucleus
3728,O00268;A0A0G2JRY5,TAF4,unclassified,unclassified,unclassified
3729,O00273;Q53HN4,DFFA,cytosol,cytosol,cytosol
3730,O00287,RFXAP,nucleus,nucleus,nucleus
3731,O00291;B4DYD7,HIP1,plasma_membrane,plasma_membrane,plasma_membrane
3732,Q5SRT3;Q53FB0;O00299,CLIC1,cytosol,cytosol,cytosol
3733,O00330;B2R673,PDHX,mitochondrion,mitochondrion,mitochondrion
3734,Q8TE29;O00377;O00369;O00361;Q9UN81;Q9UN78;G8I2S8;O00373;Q12880;O00367;O00365;O00374;Q15401,L1RE1,stress_granule,stress_granule,stress_granule
3735,O00391;A8K477;A0A140VKE5;A8K4C2,QSOX1,unclassified,unclassified,unclassified
3736,O00399;E5RK00,DCTN6,unclassified,early_endosome,early_endosome
3737,O00400;A0A2R8Y5I5,SLC33A1,ER,ER,ER
3738,O00401;A8K180;A4D0Y1,WASL,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3739,O00411;Q4G0F4;Q59E91,POLRMT,mitochondrion,mitochondrion,mitochondrion
3740,O00418;H3BRH4,EEF2K,cytosol,cytosol,cytosol
3741,O00425,IGF2BP3,stress_granule,stress_granule,stress_granule
3742,O00429;D3DUW5;D3DUW6,DNM1L,cytosol,cytosol,cytosol
3743,O00442;A8K8K1,RTCA,unclassified,unclassified,unclassified
3744,O00461,GOLIM4,Golgi,Golgi,Golgi
3745,O00468;A0A087X208;A0A494C1I6,AGRN,ER,ER,ER
3746,O00469,PLOD2,ER,ER,ER
3747,O00471;A0A0A0MSI8;F8W9B8;B4E0U7;B4DHG4,EXOC5,actin_cytoskeleton,plasma_membrane,plasma_membrane
3748,O00488;A9J4F5,ZNF593,nucleus,nucleus,nucleus
3749,O00566;B3KPV5,MPHOSPH10,nucleolus,nucleolus,nucleolus
3750,O00567;A8K9K6;A0A494C128;A0PJ92,NOP56,nucleolus,nucleolus,nucleolus
3751,Q6FI18;O00622;B4DI61;Q53FA4,CCN1,unclassified,unclassified,unclassified
3752,Q6FGN1;O00628;A0A7I2V2W7;A0A7I2V2J8,PEX7,cytosol,cytosol,cytosol
3753,O00716,E2F3,nucleus,nucleus,nucleus
3754,O00746;Q4TT34;A0A087WVT9,NME4,mitochondrion,mitochondrion,mitochondrion
3755,Q5TZN3;O00762;B2R4U3,UBE2C,cytosol,cytosol,cytosol
3756,V9HWC3;O00764;F2Z2Y4;G1UI32,PDXK,cytosol,cytosol,cytosol
3757,O00767;Q59GX7,SCD,ER,ER,ER
3758,O14495,PLPP3,plasma_membrane,plasma_membrane,plasma_membrane
3759,O14519;Q6IAV4;O75956,CDK2AP1,nucleus,nucleus,nucleus
3760,O14523;Q6DHX1;E9PK05,C2CD2L,ER,ER,ER
3761,O14524,NEMP1,ER,ER,ER
3762,O14530;B8ZZX4;F8WCJ3,TXNDC9,cytosol,cytosol,cytosol
3763,O14531;D3DRG7;Q5T0Q6,DPYSL4,cytosol,cytosol,cytosol
3764,Q6FGA0;O14548;E5RJZ1;H0YBD2,COX7A2L,mitochondrion,mitochondrion,mitochondrion
3765,O14561;H3BNK3;A4UCS3,NDUFAB1,mitochondrion,mitochondrion,mitochondrion
3766,O14578;H7BYJ3;A0A7I2V4A6,CIT,plasma_membrane,plasma_membrane,plasma_membrane
3767,O14579;Q53HJ6,COPE,ERGIC,ERGIC,ERGIC
3768,O14613;B3KUZ5,CDC42EP2,actin_cytoskeleton,unclassified,actin_cytoskeleton
3769,O14617;Q6PK82,AP3D1,early_endosome,early_endosome,early_endosome
3770,O14618;J3KNF4;E9PP76,CCS,cytosol,cytosol,cytosol
3771,O14640;Q86TH3;A0A087WWA7;Q8NA39,DVL1,cytosol,cytosol,cytosol
3772,O14646,CHD1,nucleus,nucleus,nucleus
3773,O14647;A0A024RC75;A8K9Y5,CHD2,nucleus,nucleus,nucleus
3774,O14654,IRS4,unclassified,plasma_membrane,plasma_membrane
3775,O14657,TOR1B,ER,ER,ER
3776,O14686;Q59FG6,KMT2D,nucleus,nucleus,nucleus
3777,O14713;A8K1A2;A8MPU2;B4DQY5;C9JBU8,ITGB1BP1,recycling_endosome,recycling_endosome,recycling_endosome
3778,O14727;C9JLV4;A5YM44;A7E2A2,APAF1,cytosol,cytosol,cytosol
3779,O14733;B4DV95;D6W660,MAP2K7,unclassified,unclassified,unclassified
3780,Q6FHI2;O14734;E9PJN0;B4DLF4;H7C5A7;A0A494C0N6,ACOT8,peroxisome,peroxisome,peroxisome
3781,O14737;K7EQA1;K7ESJ4,PDCD5,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3782,O14744;B2RDD7;B4DV00,PRMT5,cytosol,cytosol,cytosol
3783,O14745,NHERF1,plasma_membrane,plasma_membrane,plasma_membrane
3784,O14757;E7EPP6;B4DT73,CHEK1,unclassified,unclassified,unclassified
3785,O14786;Q59F20;A8K9V7;E9PEP6;Q6X907;Q5JWQ6;Q5T7F0;Q9H2E1;E7EX60;Q71SW6;Q5JWQ4;Q6AWA9,NRP1,plasma_membrane,plasma_membrane,plasma_membrane
3786,O14802;B7Z6H4,POLR3A,cytosol,cytosol,cytosol
3787,Q6FHJ5;O14828,SCAMP3,recycling_endosome,recycling_endosome,recycling_endosome
3788,O14832;B1ALH6;Q6FGQ2;C9IYS5,PHYH,peroxisome,ER,ER
3789,O14867;A8K4Q6,BACH1,unclassified,unclassified,unclassified
3790,O14893,GEMIN2,stress_granule,stress_granule,stress_granule
3791,O14907;A0A087X282,TAX1BP3,unclassified,unclassified,unclassified
3792,O14910;H0YIA8;H0YI92,LIN7A,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3793,O14920;A0A499FJS7;G3V105;A8K4I7;Q59GL9;B4E0A7,IKBKB,cytosol,cytosol,cytosol
3794,O14925;B1APJ0,TIMM23,mitochondrion,mitochondrion,mitochondrion
3795,O14929,HAT1,cytosol,cytosol,cytosol
3796,O14939;Q86YQ7,PLD2,plasma_membrane,plasma_membrane,plasma_membrane
3797,O14949;B7Z4A1,UQCRQ,mitochondrion,mitochondrion,mitochondrion
3798,O14950,MYL12B,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3799,O14957,UQCR11,mitochondrion,mitochondrion,mitochondrion
3800,O14965;B2R6Z3;A3KFJ0;Q5QPD4,AURKA,nucleus,nucleus,nucleus
3801,Q6FGU7;Q53EX5;O14966;B2R7I9,RAB29,trans-Golgi,trans-Golgi,trans-Golgi
3802,O14972;B7Z606;A8MTY9;A8MY26,VPS26C,early_endosome,early_endosome,early_endosome
3803,Q53GS2;O14975;G3V1R7;B3KW19,SLC27A2,ER,ER,ER
3804,O14976;Q59HA5;B4DS37,GAK,early_endosome,early_endosome,early_endosome
3805,O14980;A0A7I2V461;A0A7I2V2Y6;A0A7I2V2H0;A0A7I2V3W6;A0A7I2V2S3;A0A7I2V6B9;A0A7I2V488;B7ZB16;B4DR01;B3KWD0;A0A7I2YQX3,XPO1,cytosol,cytosol,cytosol
3806,O15014,ZNF609,nucleus,nucleus,nucleus
3807,O15015,ZNF646,nucleus,nucleus,nucleus
3808,O15020,SPTBN2,plasma_membrane,actin_cytoskeleton,actin_cytoskeleton
3809,O15027;A0A3F2YNZ0,SEC16A,cytosol,cytosol,cytosol
3810,O15031,PLXNB2,plasma_membrane,plasma_membrane,plasma_membrane
3811,O15040;B4DSD3,TECPR2,cytosol,cytosol,cytosol
3812,O15042;E7ET15,U2SURP,nucleus,nucleus,nucleus
3813,O15047;A0A024QZB1,SETD1A,nucleus,nucleus,nucleus
3814,O15056;E7ER60,SYNJ2,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
3815,O15060,ZBTB39,nucleus,nucleus,nucleus
3816,Q5T942;O15062,ZBTB5,nucleus,nucleus,nucleus
3817,O15063,GARRE1,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
3818,O15066,KIF3B,cytosol,cytosol,cytosol
3819,O15068;A0A2X0U4S1;H7BYP9,MCF2L,trans-Golgi,early_endosome,early_endosome
3820,O15075;Q5VZY9;B7Z2T7,DCLK1,nucleus,unclassified,nucleus
3821,O15085;A0A2X0SFB0,ARHGEF11,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3822,O15091,PRORP,mitochondrion,mitochondrion,mitochondrion
3823,Q59GT1;Q562E6;O15111,CHUK,cytosol,cytosol,cytosol
3824,O15126;A8K2G0;B4DP10,SCAMP1,recycling_endosome,recycling_endosome,recycling_endosome
3825,O15131,KPNA5,unclassified,unclassified,unclassified
3826,Q53R19;O15144;A0A024R408,ARPC2,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3827,O15155;Q53XK0;H7C1N3,BET1,ERGIC,ERGIC,ERGIC
3828,O15160;A0A2R8YEZ4;Q96HT3;A0A2R8Y5D3;E7EQB9;A0A2R8YEY5;A0A2R8Y8D6;H0Y723,POLR1C,nucleolus,nucleus,nucleus
3829,O15164;A0A024R784;B4DYZ9,TRIM24,nucleus,nucleus,nucleus
3830,O15173;U3KQM0,PGRMC2,ER,ER,ER
3831,Q6ICP7;O15182;E5RK82;E5RJF8;E5RFM2,CETN3,nucleolus,centrosome,centrosome
3832,O15194;A0A024R2L8,CTDSPL,plasma_membrane,plasma_membrane,plasma_membrane
3833,Q5STK2;O15212;I7HJT1;A2AB88,PFDN6,unclassified,unclassified,unclassified
3834,O15228;Q53H08;Q53FI2;Q59EC9;B2RAG5;Q71V38,GNPAT,peroxisome,peroxisome,peroxisome
3835,O15230,LAMA5,ER,ER,ER
3836,O15254;B2R856,ACOX3,peroxisome,peroxisome,peroxisome
3837,Q5T094;Q9P0H9;O15258;Q5T092;A0A0A0MR06;Q5T091;Q6IBJ7;Q5T093,RER1,ERGIC,ERGIC,ERGIC
3838,Q5T8U5;O15260;Q5T8U7;B7Z605;B7Z8F3;B7Z7A8,SURF4,ER,ER,ER
3839,O15294;Q548W1,OGT,mitochondrion,unclassified,mitochondrion
3840,O15304;H0YJN1;B7ZAZ2;B4DTY2;G3V439;G3V3U1;Q53FF7,SIVA1,cytosol,cytosol,cytosol
3841,O15347,HMGB3,nucleus,nucleus,nucleus
3842,Q6IAU5;O15355;B2R665;B4DDC8;B3KXL8;Q96IN7,PPM1G,cytosol,cytosol,cytosol
3843,O15357,INPPL1,cytosol,cytosol,cytosol
3844,O15360,FANCA,cytosol,cytosol,cytosol
3845,O15370,SOX12,nucleus,nucleus,nucleus
3846,O15371;B4E1K8,EIF3D,stress_granule,stress_granule,stress_granule
3847,O15379,HDAC3,unclassified,unclassified,unclassified
3848,O15382;Q53EW7;M0QZ10;M0QXF9;B3KSI3,BCAT2,mitochondrion,mitochondrion,mitochondrion
3849,O15397,IPO8,cytosol,cytosol,cytosol
3850,O15400;B4DH37,STX7,recycling_endosome,recycling_endosome,recycling_endosome
3851,O15439;O75555;A8K2Q2,ABCC4,plasma_membrane,plasma_membrane,plasma_membrane
3852,O15440;Q59FK6,ABCC5,early_endosome,early_endosome,early_endosome
3853,O15446;A0JLT1,POLR1G,nucleus,nucleus,nucleus
3854,O15460,P4HA2,ER,ER,ER
3855,Q3B7J4;O15504;B2R7I1;C9JYA1;B4DT96,NUP42,nucleus,nucleus,nucleus
3856,O15511;B1ALC0,ARPC5,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3857,O15514;E9PHV4;E9PB93;Q53T47,POLR2D,nucleus,nucleus,nucleus
3858,O15530;Q53HJ9,PDPK1,cytosol,cytosol,cytosol
3859,O15541,RNF113A,cytosol,cytosol,cytosol
3860,O43143;B4E0S6,DHX15,nucleus,nucleus,nucleus
3861,O43149,ZZEF1,cytosol,cytosol,cytosol
3862,O43150,ASAP2,unclassified,cytosol,cytosol
3863,O43156;Q3B768,TTI1,cytosol,cytosol,cytosol
3864,O43159;E9PPY3,RRP8,nucleolus,nucleolus,nucleolus
3865,O43166;A6H8W6,SIPA1L1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
3866,O43167,ZBTB24,nucleus,nucleus,nucleus
3867,O43169;H3BUX2;D6RFH4,CYB5B,ER,ER,ER
3868,O43242;Q6IBN0;B3KNN7;B4DEB0;B4DV84;Q96N86,PSMD3,proteasome,proteasome,proteasome
3869,O43251;A0A0G2JRA5;B0QYV1;A0A0G2JRD1;S4R3K7;S4R469;F8WSN4;B0QYY4;X5DNY3;A0A6Q8PFM4;J3KNW3;X5D7T5;A0A087X2B1;A0A6Q8PH77;X5DP44;B7ZLH9;A0A6Q8PGE0;A0A6Q8PHA3;Q59HD3;F8VZY7;F8VR27;Q8TCM0;B7Z1U7;Q9NWB1,RBFOX2,stress_granule,stress_granule,stress_granule
3870,O43252;Q05BW9,PAPSS1,cytosol,cytosol,cytosol
3871,O43257;B2R5C5,ZNHIT1,nucleus,nucleus,nucleus
3872,O43264;B2R7C2;B4E1J7,ZW10,ER,ER,ER
3873,O43286,B4GALT5,Golgi,Golgi,Golgi
3874,O43290;B4DDH9,SART1,nucleolus,nucleolus,nucleolus
3875,O43298;Q5JU97,ZBTB43,nucleus,nucleus,nucleus
3876,O43301;A0A6I8PIW1;A0A6I8PLB1;A0A1B0GTF3;B7Z2F7;A0A6I8PIT5;B7Z2M8;A0A6I8PL32,HSPA12A,plasma_membrane,actin_cytoskeleton,actin_cytoskeleton
3877,O43306,ADCY6,plasma_membrane,plasma_membrane,plasma_membrane
3878,O43314;A0A087WZV0;B4DGV1,PPIP5K2,14-3-3_scaffold,unclassified,14-3-3_scaffold
3879,O43324;D6RBD7;C9J1V9;H0YAL7,EEF1E1,unclassified,unclassified,unclassified
3880,O43347,MSI1,stress_granule,stress_granule,stress_granule
3881,O43390;B4DMB1;Q0VGD6;A0A6Q8PH35;A0A6Q8PEX7,HNRNPR,nucleus,nucleus,nucleus
3882,O43395;B4DLS8;B2R791;Q53GV6;B4DM28,PRPF3,nucleus,nucleolus,nucleolus
3883,V9HW51;O43396;B2R960;Q59G46;K7ER96,TXNL1,proteasome,proteasome,proteasome
3884,Q6FGS1;O43399;Q53GA0;A0A087WZ51;B4DDV4,TPD52L2,early_endosome,early_endosome,early_endosome
3885,O43402;Q53Y03;M0R1B0,EMC8,ER,ER,ER
3886,O43414;B4DN03;A0A3B3ISV9;B4DEX5;H0Y4B0;F6QUN3;F6UGJ8,ERI3,unclassified,unclassified,unclassified
3887,Q53F51;O43427;E9PSD3,FIBP,plasma_membrane,plasma_membrane,plasma_membrane
